Age (months),Gender,Region,Mother_Education,Household_Wealth_Index,Height_cm,Weight_kg
47,0,0,2,1,82.1,6.9
44,1,2,3,2,108.4,17.7
16,1,4,3,0,62.7,6.3
57,1,2,1,2,103.5,5.5
24,1,4,3,0,82.6,18.0
55,1,3,0,0,99.4,13.2
27,1,0,2,0,62.3,19.9
18,1,0,3,0,63.1,7.9
22,1,4,2,0,90.8,19.2
21,0,2,1,1,66.2,11.1
46,0,2,1,0,62.4,19.7
51,0,1,2,2,90.1,17.7
30,1,1,0,1,74.3,18.9
51,1,1,1,0,100.4,15.1
49,0,3,3,0,86.5,5.8
3,0,2,1,2,73.8,10.6
40,1,0,3,1,93.9,12.8
5,1,0,3,1,107.7,5.3
15,1,2,0,2,88.0,6.2
28,0,0,3,2,68.8,10.5
59,0,2,3,2,84.1,15.2
7,0,1,3,0,66.6,7.5
19,0,2,3,2,60.6,7.5
44,0,1,1,0,67.4,15.2
34,0,0,1,2,95.7,7.8
44,1,3,0,2,96.8,18.7
33,1,2,0,0,90.3,9.5
41,0,1,0,0,63.7,5.6
58,0,3,0,0,63.1,15.5
49,1,2,0,0,78.5,19.1
33,0,0,2,1,95.3,16.5
36,1,1,1,1,64.3,17.1
6,0,2,0,2,94.0,15.3
33,0,1,3,2,68.1,9.2
52,0,2,3,1,69.4,10.4
49,1,3,0,1,106.7,8.8
19,0,4,0,1,76.4,13.8
22,1,0,0,1,81.2,17.1
47,0,0,2,0,84.2,5.9
20,1,0,1,2,81.6,16.4
31,1,1,3,0,68.4,13.9
19,0,4,0,1,62.8,16.3
58,1,3,0,0,70.9,15.0
50,0,0,2,1,95.9,14.5
9,1,3,1,1,81.2,13.3
48,1,4,2,2,60.5,16.4
29,0,0,0,2,65.3,7.1
2,1,2,0,2,77.5,19.1
5,1,1,3,1,88.5,10.8
21,1,2,2,1,108.1,14.6
10,1,4,3,2,74.0,6.3
3,0,3,3,2,65.3,9.2
35,1,4,3,2,74.8,18.3
30,1,0,3,2,77.9,5.2
56,1,1,1,0,71.4,18.6
48,0,1,0,0,80.4,6.0
20,1,1,0,2,106.1,19.9
28,0,4,0,2,87.4,19.7
56,0,4,0,2,83.0,18.1
45,0,3,0,2,65.3,17.2
26,0,4,3,2,74.3,16.4
40,1,0,3,1,79.0,12.9
46,1,0,2,1,101.5,18.0
18,0,2,2,0,87.4,17.7
50,1,1,1,1,72.2,6.1
36,1,2,0,0,72.3,11.0
15,0,4,1,1,74.3,11.2
19,0,3,1,0,101.2,6.3
51,1,0,3,0,81.2,17.1
58,1,1,3,1,91.2,14.7
29,1,0,1,0,83.5,12.8
0,1,4,2,0,92.5,6.8
37,0,0,0,2,94.0,17.6
48,0,1,3,2,68.2,16.3
54,0,3,3,1,87.3,7.7
53,0,3,2,1,79.2,9.1
27,1,4,1,1,77.8,14.9
33,0,4,0,2,100.3,17.6
42,1,2,0,0,70.7,7.9
50,1,2,3,2,70.2,13.2
10,1,3,1,2,100.1,15.5
23,0,2,3,0,91.6,13.8
23,1,4,2,2,94.4,18.4
51,1,3,1,0,93.3,9.5
32,0,4,2,2,61.5,6.4
11,1,0,0,0,63.0,16.0
8,1,2,0,0,94.2,16.0
30,1,4,3,2,96.1,5.7
0,0,1,2,1,64.2,6.8
7,1,1,3,1,95.7,7.0
22,0,0,2,2,71.9,10.9
57,0,3,3,2,80.2,15.0
19,1,1,3,2,69.6,7.0
14,1,4,3,2,69.1,9.7
34,0,0,2,0,71.4,19.7
42,1,4,3,2,78.6,19.9
31,0,1,2,2,107.6,11.1
46,1,0,3,0,105.0,11.0
42,1,0,2,1,103.9,7.4
18,0,0,3,0,66.9,12.4
21,0,0,0,2,104.4,7.4
59,0,3,1,2,91.6,10.8
20,1,1,2,1,85.4,19.0
20,1,2,1,1,99.1,9.3
50,1,0,2,1,63.6,14.5
0,0,0,3,2,80.6,11.0
34,1,2,2,0,109.0,11.6
24,0,1,3,0,105.2,8.7
49,0,1,0,1,80.0,13.3
11,0,2,0,2,67.8,8.7
40,0,4,3,0,90.1,11.9
22,0,3,3,2,98.5,6.6
6,1,3,1,0,78.0,12.8
28,1,0,0,0,95.1,19.6
26,1,0,3,0,92.8,17.7
59,0,2,3,1,78.8,13.8
18,1,4,2,2,79.9,8.0
35,1,2,3,1,66.4,14.7
54,1,2,2,1,74.4,6.3
6,1,4,0,0,69.1,9.9
37,1,3,0,0,77.0,19.9
6,1,1,1,2,75.7,9.6
51,0,4,0,2,83.3,14.7
35,1,1,2,1,91.7,15.7
53,1,1,0,0,72.1,8.7
11,1,2,3,0,104.0,6.0
31,0,4,2,0,88.4,13.6
25,1,2,3,2,67.4,17.7
16,0,4,0,1,94.9,10.2
47,0,2,2,0,104.0,5.9
33,1,1,3,1,69.7,19.4
12,1,0,0,1,77.1,7.1
0,1,2,0,1,102.9,15.8
28,1,4,0,1,106.2,19.5
13,0,2,3,1,96.6,10.5
31,1,1,2,0,78.9,17.2
36,0,1,0,2,68.4,18.8
6,1,3,2,0,74.7,18.9
3,0,2,0,1,104.8,15.5
53,0,1,0,0,85.3,9.3
41,0,0,1,0,61.3,11.8
19,0,2,3,1,67.4,5.1
20,0,2,0,0,77.2,6.2
51,1,1,2,1,66.6,7.6
1,0,2,3,0,97.0,10.2
28,1,4,0,0,107.1,7.8
1,0,1,2,2,83.4,19.0
46,1,2,0,1,81.5,15.6
0,1,3,3,1,67.6,16.0
49,1,4,2,2,93.0,19.5
22,0,0,1,2,66.4,12.4
23,1,4,0,2,68.6,7.4
52,0,0,3,2,72.4,11.3
6,1,0,2,1,70.2,11.9
24,0,0,3,0,69.7,18.9
50,1,2,1,0,68.9,13.5
39,0,0,2,0,91.6,18.4
29,1,1,1,2,79.1,5.5
16,0,4,3,1,81.9,11.9
17,0,0,3,0,72.6,14.7
41,0,4,0,1,68.6,6.8
24,0,3,1,0,101.7,9.6
25,1,0,2,0,85.9,15.0
37,0,1,0,0,61.6,7.7
42,0,1,2,2,84.3,19.4
38,1,3,3,0,102.1,17.5
21,1,1,0,2,61.4,17.5
27,1,1,1,1,84.0,6.0
17,1,2,2,0,106.8,10.7
21,0,3,2,1,86.8,17.0
26,1,2,3,0,75.4,18.4
57,1,0,1,1,107.4,5.2
29,1,4,3,0,100.8,9.9
56,0,3,3,2,64.0,16.7
12,1,3,3,1,63.9,18.3
4,1,4,3,2,100.6,19.6
45,0,4,1,1,67.7,6.2
7,1,4,0,2,64.3,18.5
56,0,1,1,1,92.6,19.0
23,0,4,0,2,96.4,14.3
21,1,2,1,1,95.3,16.4
44,0,1,1,2,66.6,12.8
47,1,1,0,2,93.9,10.1
12,1,0,1,0,107.0,7.6
6,0,3,1,0,81.7,13.9
44,0,2,1,2,108.4,10.5
43,1,2,1,1,71.9,12.5
11,0,3,1,1,102.9,11.2
35,1,3,1,0,90.4,9.1
16,1,1,2,2,76.5,6.2
11,1,4,3,0,60.9,18.4
18,0,1,1,0,94.1,19.6
12,1,2,3,1,89.3,14.0
44,1,0,1,0,85.2,9.3
55,0,2,3,0,77.5,7.9
46,1,1,0,0,97.0,10.6
11,1,4,0,2,103.5,5.6
38,1,2,1,2,75.2,12.2
8,1,1,0,0,85.6,19.5
30,0,2,1,1,100.7,15.3
1,0,4,0,1,74.0,10.1
23,1,4,3,0,67.5,14.3
6,1,1,0,2,80.6,13.6
42,0,0,1,1,109.4,17.7
5,1,1,3,1,101.4,9.2
7,1,3,1,1,81.2,9.3
27,1,3,0,0,97.1,14.4
32,1,4,3,2,107.3,18.3
4,0,3,2,2,68.7,14.4
12,1,3,1,0,73.8,6.4
6,1,0,1,1,95.1,17.2
33,1,2,2,2,78.8,8.9
53,0,3,0,1,104.1,17.9
55,0,0,2,1,75.5,6.0
18,0,3,0,1,108.4,9.0
9,0,1,1,0,100.8,14.4
32,1,1,2,0,95.7,17.4
27,0,4,3,0,73.6,13.9
2,0,0,3,0,65.6,8.5
28,0,0,3,1,69.3,18.7
4,0,2,2,2,82.3,16.8
22,0,0,0,0,85.8,7.2
41,0,3,0,0,68.7,18.9
28,0,1,2,0,104.9,10.8
11,1,0,0,2,103.9,9.3
38,0,0,2,1,71.7,12.2
37,0,4,0,0,80.6,15.8
37,1,1,2,2,61.6,9.5
53,1,3,0,2,60.9,10.3
16,0,3,3,1,100.8,8.3
17,1,0,2,2,63.5,17.5
33,0,2,3,0,63.0,16.9
43,0,0,2,1,73.9,18.9
54,0,0,0,2,84.4,18.4
59,0,2,3,1,84.4,8.3
49,0,3,3,0,108.4,14.0
7,0,1,3,1,89.7,6.1
55,1,0,3,2,61.2,6.4
39,0,2,2,1,108.3,9.1
49,0,1,0,1,109.0,19.5
17,0,0,0,0,77.1,16.4
51,1,3,3,1,72.9,5.9
17,1,2,1,2,66.1,9.5
5,1,1,3,0,79.7,13.2
9,1,4,1,1,86.7,9.6
21,1,3,0,0,63.3,11.5
53,1,0,0,0,100.9,16.1
16,1,4,2,1,71.9,18.1
27,0,4,3,1,73.0,16.9
48,1,1,2,0,103.2,19.1
26,1,0,1,0,69.1,15.3
7,1,0,2,2,106.9,19.5
53,1,0,1,1,101.0,16.6
55,0,3,2,0,92.6,17.4
42,0,1,3,1,103.8,8.4
47,0,3,0,2,92.7,6.2
32,1,3,1,1,95.6,12.1
24,1,0,1,1,60.3,14.5
29,1,1,2,2,77.0,9.2
0,1,2,1,1,73.6,19.9
52,1,3,3,1,62.9,18.5
44,1,1,3,0,86.7,19.0
11,0,2,3,2,85.9,17.9
34,0,2,1,0,66.2,13.5
30,0,1,3,2,86.6,13.5
29,1,3,3,1,109.5,19.1
27,1,1,1,1,93.0,13.5
20,1,1,3,1,97.4,15.4
14,1,1,0,2,100.0,7.0
5,1,2,3,0,81.1,13.0
14,0,1,1,0,93.6,6.0
29,1,3,3,0,65.9,15.0
16,0,0,2,2,64.6,5.4
38,0,1,2,0,109.2,9.3
50,0,0,3,1,69.5,17.3
32,0,0,0,1,94.8,18.1
52,1,3,0,1,100.0,7.2
48,1,1,2,1,79.5,11.6
14,0,1,1,1,82.1,19.5
1,1,0,2,0,63.8,14.9
44,1,2,2,1,82.1,15.1
22,0,4,3,1,84.6,11.2
7,0,3,2,1,78.1,5.1
47,0,2,0,2,98.1,12.7
45,1,1,0,0,62.9,19.8
10,1,2,3,2,79.2,13.7
11,0,4,0,1,61.2,9.0
32,0,0,2,1,71.9,14.1
36,0,3,1,0,99.1,5.0
4,1,3,3,2,68.1,17.7
43,0,1,2,1,62.9,9.6
50,1,4,1,2,73.2,17.9
24,0,1,1,1,66.6,9.9
11,1,0,2,1,106.0,16.8
14,0,0,1,0,76.1,13.2
53,0,4,3,2,89.3,14.9
36,1,4,1,1,101.2,7.1
33,1,1,2,0,78.9,9.7
25,1,1,2,1,94.2,7.4
16,1,4,2,2,77.0,19.3
43,1,4,3,0,71.7,10.9
41,1,1,1,1,81.8,8.0
39,1,0,3,1,92.3,18.1
6,0,2,2,1,81.3,5.0
28,1,1,1,1,82.3,14.1
38,0,0,0,2,66.8,18.0
30,0,4,2,2,73.9,18.7
20,1,2,3,1,90.8,12.5
26,1,1,2,2,87.0,13.1
15,1,3,2,0,72.5,14.5
58,0,2,2,1,85.9,10.5
0,1,1,1,2,109.5,6.0
7,1,3,2,2,65.3,19.1
23,0,1,3,0,81.0,10.9
15,0,3,1,0,92.0,11.9
56,0,3,0,0,100.3,8.9
14,0,1,3,2,97.5,9.3
20,0,2,2,1,106.3,14.9
4,0,3,0,0,90.0,14.4
42,0,2,3,0,60.3,11.6
35,0,4,3,2,73.1,13.4
5,1,3,0,2,65.2,18.9
32,1,3,3,2,77.3,11.5
17,1,4,3,1,102.8,7.1
48,1,3,3,2,98.1,6.3
38,1,0,1,1,67.9,8.9
29,1,2,1,1,109.2,5.4
44,1,0,3,2,94.2,6.6
32,1,1,3,1,91.9,10.1
22,0,3,2,2,66.4,18.3
39,1,0,1,0,79.2,8.1
50,1,0,3,1,78.9,10.5
8,0,2,1,0,71.2,14.6
22,0,1,3,1,91.8,7.4
8,0,0,2,0,83.6,8.2
13,0,2,1,1,104.3,11.7
53,1,4,2,1,90.8,6.0
11,0,0,0,1,95.7,17.4
55,1,4,1,1,84.2,17.5
39,0,0,0,0,84.6,14.9
3,1,0,1,1,70.6,15.4
21,1,3,1,2,101.1,10.1
25,0,2,3,2,107.5,14.4
49,0,0,1,1,69.5,6.6
38,1,3,0,0,66.9,13.3
27,0,1,2,1,79.5,19.0
11,1,4,2,1,100.7,16.6
43,1,3,3,1,106.0,5.4
15,0,2,1,2,97.5,13.2
18,0,1,2,1,96.0,11.4
30,1,0,3,0,95.1,12.9
21,1,1,1,1,97.8,6.5
47,1,3,1,1,98.3,6.0
20,0,0,1,1,87.6,6.3
17,0,1,3,2,86.4,11.2
26,1,1,3,1,84.6,11.7
25,0,2,1,0,106.4,12.8
29,1,3,3,0,87.6,6.5
38,1,4,3,2,67.8,17.5
44,1,0,1,2,65.6,5.2
43,0,3,0,0,80.5,8.1
55,0,0,1,0,80.4,10.1
20,1,1,2,2,101.1,8.2
23,0,0,2,0,95.9,12.9
22,1,1,2,2,104.3,8.0
14,0,1,0,2,103.8,19.4
23,0,3,1,2,88.8,6.4
11,0,3,0,1,101.5,12.0
49,0,2,0,0,105.6,11.9
56,0,1,0,1,63.7,16.4
46,0,2,3,2,70.2,18.2
11,1,3,3,0,99.3,15.4
42,1,2,0,1,75.1,10.8
38,1,3,1,2,107.5,10.7
27,1,4,0,1,89.7,11.7
0,0,4,1,1,93.8,6.4
20,0,3,0,2,70.8,19.2
45,1,4,2,1,65.3,19.6
57,0,2,2,0,63.1,10.9
12,0,1,1,0,95.5,19.6
26,0,4,0,2,70.2,12.4
15,1,3,3,0,64.8,7.4
27,1,2,1,2,83.4,12.9
26,1,2,0,2,92.3,7.8
53,1,0,1,0,78.2,11.1
34,0,4,3,2,76.8,9.3
52,1,4,2,2,97.6,6.0
19,1,3,0,1,76.9,18.7
22,1,1,3,0,64.6,14.2
1,1,4,0,1,65.7,19.2
23,0,3,3,0,81.2,6.3
4,0,2,1,2,106.1,16.6
14,1,0,1,2,69.2,19.8
33,0,4,3,2,108.6,18.8
40,0,2,2,1,103.2,11.8
35,0,3,2,2,85.5,5.4
48,0,4,3,2,94.8,12.8
55,1,2,2,1,63.9,17.0
2,1,4,1,1,82.7,14.3
32,0,4,0,2,78.9,7.2
30,1,3,2,0,80.0,19.6
29,0,2,3,2,73.7,8.9
15,0,0,2,1,80.0,16.2
50,0,4,0,0,86.7,17.6
0,0,1,3,2,95.3,17.1
22,0,0,3,2,93.3,6.5
42,0,2,3,2,61.4,9.6
34,0,3,1,1,91.5,19.1
53,1,0,2,1,60.5,6.8
2,1,0,1,1,85.8,15.3
50,1,2,0,0,82.4,19.9
22,0,1,3,2,93.8,13.4
51,0,2,1,2,66.6,6.5
8,1,4,2,0,67.4,5.9
25,1,1,1,0,66.8,12.6
24,1,2,0,1,107.5,5.9
22,0,0,3,2,68.4,7.4
50,1,4,1,0,96.6,16.0
13,0,4,3,0,64.7,10.4
54,1,0,0,2,65.2,11.3
11,0,0,0,1,78.1,12.6
12,0,2,0,1,94.3,19.9
17,1,2,2,1,109.3,12.6
38,1,0,2,0,86.2,5.8
4,1,0,3,1,96.3,10.9
35,0,0,0,2,72.3,17.0
14,0,3,0,1,83.7,10.9
0,1,3,3,1,63.4,11.5
34,1,0,0,1,76.1,7.8
47,0,4,0,0,104.5,5.4
8,0,0,1,2,65.7,17.1
58,1,0,3,2,92.2,10.7
8,1,4,2,2,98.6,17.9
5,1,1,2,0,96.8,10.5
30,1,1,2,2,75.3,17.9
17,0,3,0,2,64.7,9.1
0,1,2,2,2,106.7,16.6
20,1,3,3,2,85.5,14.0
58,1,0,0,0,67.4,6.6
28,1,3,1,1,65.7,10.8
34,1,0,0,0,68.8,19.4
50,0,4,2,1,77.2,18.4
34,0,0,2,0,108.3,14.1
43,1,4,3,1,88.2,13.0
54,1,2,3,0,93.8,8.0
54,1,2,2,2,73.3,10.6
12,1,4,3,1,85.7,6.6
59,0,0,2,2,71.5,11.7
42,0,0,3,2,68.8,7.2
25,0,2,2,0,67.9,18.1
7,0,2,3,1,108.9,10.9
20,0,0,3,2,96.9,5.5
39,0,3,0,0,85.8,17.4
30,1,1,0,2,77.6,14.9
37,0,2,3,0,63.3,18.1
37,1,1,2,1,97.8,12.8
52,0,3,1,1,81.1,8.8
34,0,3,2,1,106.6,18.9
3,1,0,3,0,103.1,7.9
30,1,3,3,0,107.5,12.3
2,1,4,3,1,93.3,10.8
6,1,2,2,0,107.4,12.6
56,1,1,3,1,63.5,16.4
41,0,4,3,2,78.8,18.4
19,1,1,1,0,83.9,7.9
51,0,1,2,0,96.8,18.9
46,0,3,2,2,103.2,13.9
57,0,3,0,1,75.8,17.5
44,0,1,1,2,66.5,14.4
48,0,2,0,2,66.3,18.3
0,1,0,0,2,101.6,14.5
1,1,1,3,1,75.2,6.4
28,0,4,1,1,60.2,5.2
34,0,4,2,1,73.7,14.8
42,0,3,1,0,101.6,6.8
27,1,2,3,1,65.2,11.9
33,0,4,2,2,89.2,17.3
18,0,4,3,2,97.1,16.4
30,1,3,3,0,78.9,12.7
24,1,2,3,0,74.8,15.0
57,1,0,0,0,97.3,8.0
26,1,0,2,2,72.3,18.1
27,1,0,2,0,61.9,8.1
31,1,1,1,0,61.4,5.3
36,0,0,1,2,83.2,14.4
23,0,2,2,0,66.5,19.3
9,1,2,3,1,88.5,15.0
42,1,0,3,1,61.4,9.0
17,1,3,0,1,61.4,8.8
26,0,0,3,2,90.7,10.6
32,1,0,1,2,68.9,18.8
53,0,2,0,1,109.9,7.7
30,1,4,0,2,70.8,19.2
53,0,3,0,0,69.7,9.2
37,1,2,2,1,99.4,6.8
18,0,4,2,1,64.1,11.7
33,0,1,0,1,70.9,6.5
34,1,4,3,0,82.6,10.4
8,1,3,1,2,86.6,5.6
45,0,2,2,1,95.6,19.9
56,0,0,1,2,87.1,15.1
34,1,1,3,0,92.0,9.4
19,0,3,1,1,68.0,15.6
42,1,3,3,1,90.2,13.1
26,1,3,1,0,94.7,10.1
34,1,1,1,1,98.3,8.0
51,0,4,3,1,83.5,12.4
18,1,4,0,1,101.4,15.5
56,0,3,2,0,62.0,8.1
9,1,2,2,0,109.2,14.4
50,1,0,1,1,108.5,12.5
3,0,1,0,2,85.7,10.0
54,1,0,3,0,104.3,15.4
5,1,1,0,1,70.1,19.8
53,0,0,2,0,82.9,7.9
48,0,3,1,0,65.8,7.9
29,0,2,1,2,77.9,19.0
4,1,0,2,2,96.8,19.8
49,0,0,0,2,107.6,7.2
59,0,0,0,2,102.8,16.2
53,0,1,1,1,65.7,6.2
15,0,0,0,0,101.8,14.5
7,1,0,2,0,102.7,16.1
42,0,0,2,1,93.1,15.6
29,1,3,1,2,62.2,8.8
54,1,1,0,1,96.2,7.4
27,1,1,0,2,71.9,11.4
36,1,4,2,1,65.6,19.8
4,0,4,0,0,68.7,16.8
37,1,4,3,0,74.4,18.1
5,0,2,2,1,89.1,14.7
34,1,4,1,0,62.5,19.1
3,0,4,2,1,63.3,19.8
18,1,2,2,0,71.5,13.7
25,1,0,3,0,86.2,18.4
29,0,4,2,1,106.7,12.2
11,1,1,1,0,108.2,16.1
41,1,0,0,1,105.4,13.2
43,0,3,2,2,60.8,16.5
45,0,1,1,1,97.9,13.4
19,1,3,3,0,95.2,17.3
25,0,4,3,0,105.6,7.1
31,1,4,1,0,103.6,9.1
8,0,4,2,1,88.7,14.8
8,0,1,2,2,61.4,5.2
49,1,2,1,1,61.5,19.5
2,0,4,0,0,94.3,11.1
16,0,0,3,0,97.9,11.5
6,1,4,0,0,108.5,5.3
23,1,3,3,0,93.0,15.3
20,1,0,3,2,74.2,6.4
50,1,3,0,2,85.1,18.3
37,0,2,3,2,75.2,9.4
42,0,0,3,2,109.3,12.1
39,0,1,3,2,66.5,7.8
58,1,4,1,0,83.4,9.1
59,1,2,0,2,90.5,17.6
29,0,1,0,0,107.4,16.6
16,0,3,1,1,71.9,11.2
48,1,0,0,2,74.9,6.1
22,0,4,0,1,62.5,11.0
2,0,1,2,0,78.8,15.8
33,1,1,0,2,72.0,14.8
35,1,1,3,2,103.5,7.1
49,0,1,3,2,107.1,8.8
26,1,0,2,1,99.5,11.6
4,1,3,2,2,86.8,11.8
39,0,2,2,2,72.8,5.4
11,0,2,1,2,100.2,8.1
7,0,2,3,2,72.0,19.9
40,0,4,3,1,106.6,19.7
15,0,1,0,1,88.0,15.8
46,1,1,2,2,92.2,15.4
16,1,3,0,0,77.4,18.4
0,1,1,2,2,100.4,9.4
53,1,2,1,0,68.9,15.5
51,0,2,3,1,95.1,9.6
37,0,4,2,2,82.9,9.0
35,0,2,1,2,62.2,8.9
44,1,2,1,1,97.2,10.6
40,1,4,0,2,79.0,19.8
43,1,3,3,1,109.6,19.0
59,0,3,0,1,63.6,7.9
44,0,3,2,1,64.6,12.9
0,1,2,3,1,96.8,14.2
28,0,3,1,2,97.5,8.7
55,1,2,2,1,61.5,18.1
26,0,3,2,2,109.3,11.8
11,0,0,1,1,96.5,14.7
59,0,1,2,0,86.9,8.1
9,1,2,2,0,75.2,15.7
34,0,1,1,0,68.2,15.9
2,1,1,3,1,73.9,8.8
19,1,2,3,2,60.6,11.1
26,0,3,3,1,83.0,15.8
19,1,1,2,2,104.5,12.9
10,0,4,2,2,108.7,17.9
4,0,4,2,0,108.7,11.6
54,0,4,3,0,97.7,10.5
30,1,4,0,0,69.3,18.9
36,0,0,2,0,65.7,15.0
38,0,0,3,1,101.1,15.4
50,0,4,1,2,65.3,5.6
53,1,0,3,0,100.3,9.8
34,1,0,1,2,63.5,18.3
11,1,2,0,1,84.2,7.2
48,1,3,0,2,91.6,7.6
7,0,2,3,1,70.4,14.9
48,0,4,1,1,85.9,9.1
43,1,2,1,1,85.0,19.1
49,1,2,3,1,76.2,17.1
51,1,0,2,0,61.1,19.6
50,1,1,2,2,91.2,13.0
43,0,0,0,0,102.6,10.2
9,1,2,0,1,105.1,5.8
51,1,0,3,0,96.5,19.1
52,1,4,3,2,76.7,6.9
3,0,1,2,0,66.3,10.8
36,0,0,1,1,104.8,11.5
24,1,1,0,0,88.8,11.8
24,0,2,2,0,90.2,7.3
52,1,2,1,0,101.8,10.2
17,1,0,3,1,98.0,9.2
45,1,1,3,0,94.4,19.6
49,0,0,3,1,65.3,10.6
36,0,0,2,0,65.0,15.8
39,1,2,3,2,72.3,12.2
14,0,4,0,1,99.3,19.9
57,0,0,0,2,83.3,17.0
0,1,0,0,0,68.1,15.0
10,1,1,2,1,85.0,13.1
38,0,2,3,1,88.0,18.2
31,0,3,2,1,73.6,12.3
17,1,2,0,0,94.8,13.5
20,1,1,1,0,66.2,10.9
45,1,4,2,1,86.7,7.8
48,1,4,0,1,87.0,12.0
34,1,1,0,1,62.3,14.5
5,1,1,3,2,62.2,11.9
54,1,2,0,0,63.9,18.0
51,1,0,2,0,90.3,8.2
51,0,1,3,0,60.3,19.6
17,0,1,2,0,102.1,18.1
1,0,1,1,1,79.0,15.6
33,0,4,3,0,103.5,14.6
15,0,4,1,0,82.8,19.5
37,0,3,3,2,104.2,10.3
29,0,4,1,0,81.8,19.9
1,0,4,0,1,105.1,15.6
37,1,1,3,0,65.3,13.5
50,0,4,0,2,75.1,18.1
47,1,2,3,1,103.2,6.7
12,0,4,1,2,107.0,9.2
32,0,0,0,1,108.6,13.8
17,0,3,3,2,61.1,9.3
17,0,2,0,1,84.3,18.9
33,1,0,2,2,80.5,9.3
46,0,0,0,0,96.6,19.3
39,1,3,2,0,90.9,13.7
37,0,0,0,0,75.8,12.7
11,0,2,0,2,71.4,15.8
21,0,3,1,1,60.6,14.8
2,0,1,1,1,94.0,17.6
41,1,3,3,2,71.2,6.3
25,1,2,2,0,82.7,9.1
10,0,4,2,2,80.7,10.8
26,0,0,2,0,84.3,5.6
7,0,4,2,2,84.6,7.2
23,1,2,2,1,104.0,8.0
35,0,2,2,1,72.9,19.2
7,0,2,0,1,103.0,11.2
9,1,1,1,2,92.9,18.9
11,1,1,0,1,83.7,17.0
8,0,4,1,0,60.7,16.2
21,1,1,3,1,77.9,9.7
34,0,0,0,1,83.5,18.3
22,0,3,3,0,78.9,17.8
51,1,0,1,2,60.9,18.5
9,1,4,0,1,88.8,18.5
14,0,4,1,0,102.3,16.6
17,1,4,2,2,90.9,6.7
5,1,2,3,0,108.4,8.4
27,0,0,2,1,82.6,7.6
43,0,0,2,1,105.6,12.6
28,0,4,3,0,87.1,9.7
29,1,1,2,2,97.6,14.5
55,0,1,2,1,60.9,7.0
24,0,3,1,1,78.5,11.1
10,0,0,2,1,93.4,17.0
49,1,0,0,2,61.3,7.5
9,0,0,1,0,86.2,15.4
8,1,1,0,0,97.9,16.8
2,1,1,1,1,69.0,9.4
32,1,0,3,2,77.2,9.6
39,0,2,1,0,67.3,13.9
2,1,0,2,0,74.6,10.3
15,0,2,1,0,88.5,16.0
53,1,1,1,1,78.2,6.6
54,0,4,2,1,74.0,8.9
49,0,2,2,2,76.7,14.0
41,1,3,2,0,69.9,8.1
29,0,1,0,2,101.8,17.6
16,1,0,2,2,104.1,18.9
2,1,2,2,0,108.5,14.1
32,1,2,3,1,60.0,18.7
52,1,1,1,0,72.3,16.1
13,0,2,2,1,85.4,18.0
47,0,0,0,0,99.2,15.3
40,0,4,3,2,61.5,11.7
20,1,1,1,2,60.9,19.0
46,0,4,1,0,61.1,7.6
35,1,0,3,1,91.1,15.5
30,1,2,1,1,62.3,9.5
57,0,2,1,1,65.5,14.2
17,0,3,0,1,61.3,11.5
4,1,0,1,1,62.5,12.0
15,0,0,2,0,73.0,11.0
8,1,1,3,0,103.5,14.9
42,1,0,2,0,86.0,8.8
46,1,1,1,0,76.7,19.4
3,0,0,3,2,71.3,14.1
13,1,1,3,0,108.3,12.3
24,1,0,1,0,71.4,5.0
37,1,4,1,2,82.1,7.0
3,0,2,2,2,79.5,6.8
52,1,2,1,1,98.8,19.3
3,0,3,0,1,83.8,13.5
23,0,1,0,2,65.9,19.6
2,1,4,3,1,109.0,7.8
4,1,2,2,2,100.3,9.5
48,0,3,1,0,72.0,15.2
49,1,0,0,0,98.7,14.0
25,1,0,1,1,74.4,15.6
30,1,1,1,1,64.1,12.4
10,1,2,3,0,101.0,7.2
37,0,1,3,1,63.9,6.4
13,1,2,0,2,88.4,6.6
28,0,1,3,0,90.2,5.9
45,0,2,3,0,76.7,18.8
4,0,4,0,1,81.5,13.1
31,1,3,0,2,66.9,14.5
4,1,3,2,1,101.1,19.7
16,1,3,3,2,71.1,10.9
29,1,2,0,1,97.5,11.1
47,0,4,3,0,74.0,13.6
47,0,1,2,1,89.4,12.9
19,1,3,3,2,97.9,14.9
22,1,4,2,1,97.4,11.6
23,0,3,2,0,70.8,9.7
51,0,1,0,1,67.7,9.2
42,1,1,0,2,84.5,10.9
40,0,1,0,1,67.5,9.9
56,0,2,1,2,74.0,16.8
53,0,4,3,0,106.0,6.7
58,0,3,1,2,72.9,6.5
38,0,0,0,0,81.7,16.9
29,1,1,1,0,99.8,9.8
34,1,3,0,2,87.5,16.5
27,1,0,2,1,101.8,16.2
2,0,2,1,0,74.2,11.1
54,1,0,2,2,73.0,11.3
59,0,4,1,0,87.2,17.5
37,0,3,3,0,95.7,12.7
11,0,0,3,1,87.1,12.5
34,1,2,1,2,81.3,17.7
55,0,3,3,1,68.2,14.8
57,0,2,0,2,68.6,13.3
51,0,2,2,0,86.0,9.9
24,1,3,3,0,71.3,6.8
9,1,4,0,0,98.9,9.9
31,1,4,2,0,76.0,14.6
13,1,0,1,1,68.7,8.0
28,0,4,2,1,84.7,19.8
6,0,4,0,0,89.3,8.2
50,1,2,1,2,102.7,5.3
